Age,Gender,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Premium
75,M,47,0,2,1200,3,Garage,3,223.8396337
44,M,14,0,2,1200,5,Garage,1,215.0955321
19,M,2,0,4,1200,6,Garage,1,215.2411997
20,F,2,0,0,1200,4,Road,3,187.8453446
63,M,39,0,2,1200,4,Garage,1,223.18788
68,F,41,4,2,1200,6,Garage,1,238.9384819
34,M,16,4,0,1400,6,Garage,2,211.4361911
50,M,17,0,3,1200,4,Garage,6,228.6961998
26,F,2,4,1,1200,4,Garage,10,198.8775921
71,M,36,0,3,1200,3,Garage,7,234.4681386
80,F,15,4,0,1200,6,Garage,16,224.1944585
65,M,7,0,2,1600,4,Garage,5,214.3350987
34,M,17,0,3,1200,4,Garage,2,222.4108999
80,F,47,0,2,1400,2,Garage,6,218.1204939
30,F,10,0,3,1200,4,Garage,2,213.1645688
31,F,13,0,1,1400,4,Garage,3,197.0965549
57,M,19,0,3,1200,2,Garage,3,218.9922686
68,F,30,0,4,1600,6,Drive,9,258.9445615
55,M,27,0,0,2000,6,Drive,13,224.719999
28,F,3,0,2,1400,5,Garage,11,203.9268441
39,M,3,0,0,1800,6,Garage,15,197.4652275
42,M,16,0,3,1400,4,Drive,2,232.3871291
43,M,1,0,2,1800,3,Garage,1,189.0154745
37,M,14,0,2,1400,5,Garage,12,223.2801117
26,M,9,0,4,1200,2,Road,2,235.9349155
37,F,1,0,4,1600,5,Drive,1,218.03531
21,F,4,0,1,1200,5,Garage,1,185.1560907
58,F,29,8,2,1200,4,Garage,7,247.6228864
52,M,35,0,3,1400,3,Garage,6,231.7220357
79,F,22,0,1,1600,4,Garage,5,211.0566418
66,F,47,0,1,1400,3,Garage,4,210.3877202
31,M,12,0,4,1200,6,Garage,17,246.2916613
27,M,4,0,1,1200,6,Road,1,213.5975603
32,M,7,0,0,1200,2,Garage,17,187.585515
56,F,27,0,0,1200,2,Road,1,206.061855
53,M,5,0,4,1200,2,Drive,1,224.1301852
36,F,7,0,2,1200,2,Garage,9,198.1277793
38,F,11,0,4,1200,4,Garage,1,225.0181605
19,F,2,0,4,1400,6,Garage,15,223.2119531
20,M,3,0,1,1400,4,Garage,1,184.2598189
32,M,4,0,0,1400,2,Garage,3,172.6793421
68,F,6,0,2,1200,5,Garage,3,209.3996937
58,M,23,0,2,1400,4,Road,1,239.0725602
40,F,12,0,0,1200,5,Road,10,216.2998452
71,M,53,0,3,1800,7,Garage,4,248.4869527
49,F,31,0,2,1800,5,Garage,9,226.7433419
21,F,2,0,1,1200,2,Garage,1,167.3937035
71,F,49,0,3,1400,5,Road,15,266.9163111
41,M,21,4,1,1200,6,Garage,14,233.9385998
26,F,1,0,3,1400,4,Garage,1,193.5698347
64,F,46,0,1,1400,7,Garage,17,231.6668021
67,M,46,0,4,1200,4,Garage,2,245.8009811
80,F,32,0,0,1200,6,Road,4,227.3226107
76,M,47,0,4,1200,2,Garage,16,248.9393941
23,M,1,0,4,1200,4,Garage,2,206.6182627
52,M,3,0,2,1400,4,Garage,10,209.1039105
33,M,6,0,2,1200,3,Road,1,219.2046843
49,M,30,0,1,1400,3,Garage,4,208.4134429
63,M,3,4,3,1400,3,Garage,5,226.1366109
42,M,2,0,2,1200,4,Garage,3,197.7808434
70,M,7,0,0,1400,4,Road,1,211.0603055
64,M,14,0,4,1400,5,Garage,7,243.663833
35,F,17,0,2,1400,7,Garage,12,224.8750975
47,F,20,4,2,1400,3,Garage,1,221.7696738
35,M,18,0,0,1400,2,Garage,3,185.4288585
19,M,1,0,3,1200,5,Garage,4,199.6650682
45,M,20,0,2,1200,2,Drive,18,227.5115047
30,F,7,0,3,1200,6,Road,11,242.9173707
79,M,16,0,2,1400,5,Garage,1,221.6166023
45,M,9,0,2,1800,6,Garage,2,216.9989325
76,M,3,0,0,1200,3,Garage,11,188.3333131
28,M,7,0,2,1400,2,Garage,9,200.8880173
45,M,14,0,2,1400,2,Garage,2,204.6288585
67,M,17,0,2,1400,5,Garage,3,222.3835575
79,M,41,0,3,1400,4,Garage,3,237.7692217
46,M,28,0,0,1200,5,Garage,12,209.7963236
49,M,28,0,2,1200,6,Garage,15,235.1327089
68,M,28,0,2,1200,3,Garage,8,222.9122458
73,F,34,0,2,1200,3,Drive,2,224.2331078
43,M,20,0,1,2000,8,Garage,1,216.5858586
59,F,25,0,0,1600,7,Garage,12,212.8055693
48,F,4,0,0,1600,7,Garage,6,191.6942262
40,M,13,0,3,1400,2,Garage,1,212.2937305
60,M,33,0,2,1200,2,Garage,2,213.0191636
24,F,6,0,2,1600,6,Garage,1,203.3374272
29,M,3,0,3,1600,4,Garage,1,207.8999843
76,M,7,0,3,1200,4,Garage,12,229.7474569
51,F,19,0,0,1400,3,Garage,19,203.0794183
51,M,1,0,3,1400,5,Garage,7,210.7349148
58,F,26,0,4,1400,4,Garage,5,239.2533788
57,F,26,0,0,1200,2,Garage,8,191.501529
77,F,15,8,1,1400,6,Garage,2,236.7927755
75,F,27,0,4,1200,4,Garage,6,241.6409088
65,M,48,0,0,1600,3,Garage,3,204.3016646
51,M,5,4,0,1600,3,Drive,5,207.2004001
34,F,7,0,0,1200,6,Garage,2,186.7186758
28,M,10,4,4,1400,4,Garage,1,239.9167126
33,F,10,8,4,1200,4,Road,3,271.3937169
48,F,16,8,2,1800,6,Road,7,268.7848205
69,F,1,0,3,1200,5,Garage,4,205.9824084
24,F,2,0,1,1800,7,Garage,9,193.5927865
60,F,28,8,2,1200,3,Road,3,260.5776073
62,M,6,0,2,1400,4,Drive,1,216.8562132
28,F,5,0,4,1200,3,Garage,10,219.6316874
74,M,57,0,3,1400,6,Garage,13,253.2881947
75,F,5,0,2,1200,4,Garage,1,204.1497172
50,M,28,0,3,1400,4,Garage,11,237.4588825
38,F,13,0,3,1600,2,Garage,1,208.5510411
80,F,56,0,2,1200,2,Garage,3,216.3513732
49,M,14,0,2,1400,4,Garage,7,218.5520834
65,M,26,0,1,1200,2,Road,6,224.952217
75,M,45,0,0,1200,5,Garage,8,214.3027612
39,M,7,0,2,1200,2,Garage,2,197.1681209
69,M,11,4,3,1800,6,Drive,9,258.9571835
27,M,2,0,1,1600,5,Garage,4,189.4598391
48,F,20,0,3,1200,5,Road,2,245.4450226
18,F,1,0,4,1200,4,Road,2,220.6572831
25,M,3,0,4,1400,4,Garage,4,218.4449673
71,M,22,0,4,1200,4,Garage,14,249.9640876
56,F,15,0,4,1200,3,Garage,1,226.7657632
46,M,18,0,2,1400,3,Road,6,235.4214067
49,F,10,4,3,1400,2,Garage,1,221.1516764
65,F,46,0,0,1600,6,Garage,16,219.6031501
30,M,7,0,0,1200,5,Garage,18,200.0864166
27,F,4,0,4,1200,6,Road,6,243.5975603
54,F,32,4,2,1400,5,Garage,5,236.6514027
75,F,41,0,2,1200,2,Garage,17,224.540828
20,M,2,0,1,1200,4,Garage,2,181.0453446
71,M,36,4,0,1600,6,Garage,3,225.2818447
76,M,20,0,2,1200,3,Garage,2,216.3102729
32,F,7,0,1,1600,4,Garage,2,192.2658878
50,F,19,8,2,1800,3,Garage,1,236.4442361
24,M,7,0,4,1400,2,Garage,1,213.2548118
60,M,10,0,3,1200,6,Garage,9,233.7159477
33,M,10,0,4,1400,4,Garage,1,227.8978036
25,F,4,8,4,1400,3,Road,2,257.9773296
57,M,38,0,2,1200,5,Garage,3,226.7546558
60,F,34,0,0,1800,6,Garage,18,218.7334767
79,M,13,0,4,1600,6,Garage,6,247.0540985
54,F,23,0,0,1200,3,Road,1,209.8943741
62,M,16,8,0,1200,5,Garage,12,234.3740079
48,F,17,0,2,1200,4,Garage,1,210.3696238
21,M,1,0,2,1200,4,Garage,1,185.0904885
37,M,14,0,0,1200,4,Garage,7,195.5341109
18,M,1,0,2,1200,4,Garage,2,184.6572831
69,F,1,0,2,1400,5,Garage,17,207.1531618
73,M,25,0,2,1200,6,Garage,3,227.8151926
30,F,7,0,0,1200,5,Garage,12,191.2864166
80,M,15,0,2,1800,5,Road,2,243.2574966
18,F,1,0,0,2000,4,Drive,4,172.8114112
41,F,22,0,2,1200,3,Road,7,232.1354642
61,M,33,8,3,1400,2,Road,4,272.1888181
65,F,44,0,4,1800,7,Road,9,276.2917936
23,M,6,0,1,1400,4,Garage,1,190.9230919
28,F,3,0,0,1600,6,Garage,4,181.4254552
41,M,14,0,0,1200,4,Garage,4,193.9553442
41,M,22,0,2,1200,4,Garage,2,215.9712252
62,F,14,0,0,1400,6,Garage,7,201.8407976
29,F,1,0,0,2000,5,Garage,6,173.2020511
20,F,3,0,2,1600,2,Garage,2,182.4855134
76,F,52,0,2,1200,2,Garage,2,214.5481631
38,M,9,0,2,1600,7,Garage,3,217.9127491
25,M,6,0,4,2000,5,Road,8,251.9487668
52,F,25,0,0,1200,5,Road,12,225.8705127
28,M,2,0,4,1200,4,Drive,2,221.7371225
79,F,40,0,0,1600,6,Garage,5,211.2455393
52,M,14,0,3,1200,5,Garage,8,232.0319647
65,F,45,0,1,1600,4,Road,5,235.2211174
71,M,3,0,0,1200,5,Garage,14,196.9998937
30,M,12,0,1,1800,6,Road,13,234.8566682
47,M,16,0,4,1400,3,Road,7,255.451192
66,F,23,0,1,1200,4,Garage,1,205.3355007
53,F,35,0,0,1600,4,Garage,6,202.3778392
65,F,1,0,2,1200,5,Garage,13,202.7046545
28,F,2,0,1,1200,6,Garage,3,185.943324
24,M,4,0,2,1200,3,Garage,1,193.4133336
76,M,36,8,2,1400,7,Garage,5,262.1472911
73,F,4,0,1,1400,7,Garage,11,208.3806367
21,F,4,0,3,1200,5,Garage,1,205.1560907
29,F,12,0,0,1200,2,Road,14,204.7099664
37,F,14,0,2,1200,2,Garage,6,201.4921485
41,M,23,0,4,1400,6,Road,3,263.3037941
77,M,35,0,2,1800,7,Drive,10,248.6164062
27,F,6,0,1,1200,4,Garage,6,191.4350797
56,M,19,0,0,1400,5,Garage,4,202.6386351
66,F,42,0,4,1800,5,Garage,1,245.1554768
47,M,20,0,2,1200,4,Garage,8,221.101348
57,M,13,0,4,1600,6,Garage,16,252.4429258
33,M,9,0,2,1400,5,Garage,6,214.0301669
31,F,9,0,0,1200,2,Garage,1,172.5420408
65,M,38,0,4,1400,5,Garage,7,251.7760972
23,M,1,4,2,1200,5,Road,5,225.3268434
43,M,12,0,4,1200,6,Garage,2,236.9093646
36,M,3,0,2,1400,3,Drive,1,203.1263512
70,F,30,0,4,1600,5,Garage,10,249.5455077
64,F,30,0,0,1400,2,Road,8,214.3437437
75,F,20,0,3,1400,2,Drive,4,227.1688631
48,F,1,0,1,1200,6,Road,3,204.7101185
31,M,3,0,3,1200,5,Drive,6,221.9703523
46,M,5,0,3,1400,2,Road,2,226.5677345
71,M,31,0,4,1600,4,Road,4,266.146056
31,F,11,0,3,1400,2,Garage,6,208.9181598
32,M,7,0,1,1400,2,Garage,2,186.3562684
51,M,8,4,2,1400,4,Garage,7,227.7285331
61,M,23,0,0,1400,6,Drive,12,221.6822085
40,F,7,0,0,1600,6,Road,1,208.6572376
34,F,6,0,1,1200,6,Garage,1,194.6854704
25,F,7,0,2,1400,3,Drive,1,202.9875892
59,F,4,0,0,1200,3,Garage,10,183.8092025
42,M,21,0,2,1200,6,Garage,1,220.3980469
38,M,5,0,2,2200,4,Road,5,228.9411806
52,F,5,0,2,1600,4,Garage,2,203.4581724
73,F,55,0,0,1200,5,Garage,1,206.0918974
78,F,10,0,4,1200,2,Garage,8,226.3666979
22,F,3,0,0,1200,4,Garage,1,170.2515469
64,F,37,0,2,1200,5,Drive,18,243.4679643
64,M,31,0,0,1200,6,Road,2,227.6834727
52,M,22,0,2,2000,4,Garage,12,228.4267265
61,F,28,0,3,1200,3,Garage,4,224.843175
42,F,6,0,1,1800,5,Drive,16,215.9723146
43,F,5,0,2,1400,4,Road,1,220.4701666
36,F,5,4,3,1200,5,Road,8,250.1865445
50,M,29,0,1,1200,2,Road,1,219.7268973
31,F,9,0,1,1200,5,Road,1,214.7592506
38,M,5,0,3,1400,4,Garage,5,216.681255
35,F,12,0,2,1200,6,Garage,2,211.2625481
73,M,48,0,2,1400,4,Garage,12,235.598346
29,F,3,0,3,1600,2,Garage,1,194.6580219
38,M,8,0,1,1200,4,Road,1,216.4705306
39,M,7,0,4,1800,3,Garage,6,227.8016479
24,F,3,0,4,1600,5,Drive,3,224.9612957
44,M,22,0,4,1400,7,Road,2,264.7684629
73,F,34,0,1,1400,5,Drive,1,221.0148695
33,F,6,0,1,1200,5,Road,1,212.0156926
78,F,22,0,2,1200,4,Garage,1,216.3163192
37,M,10,0,0,1600,5,Garage,4,194.8559908
53,M,3,0,4,1200,3,Road,7,242.2497816
25,M,7,0,2,1200,6,Garage,19,221.8587982
45,M,17,0,3,1400,5,Garage,1,227.5993164
19,F,1,0,4,1400,2,Drive,1,199.8186118
48,F,11,0,2,1600,6,Road,11,241.7316911
77,F,19,4,4,1400,6,Garage,2,255.3505524
48,F,5,0,0,1400,4,Garage,15,192.5501738
50,M,16,0,4,1400,6,Garage,3,241.9881577
64,F,46,0,4,1200,6,Garage,14,256.4407063
20,F,1,0,2,1400,6,Garage,1,186.877122
67,F,40,0,4,1800,4,Road,8,267.5102111
42,M,16,0,4,1200,5,Garage,2,236.5916231
76,M,21,4,0,1200,2,Garage,12,212.6277261
42,F,15,0,4,1200,3,Road,2,245.2643066
46,F,16,0,0,1200,3,Garage,2,186.508389
71,F,30,4,0,1200,5,Garage,1,214.3539077
60,F,32,4,3,1200,2,Garage,1,231.3063236
20,M,1,0,1,1200,5,Drive,16,197.6754145
32,F,3,0,3,1200,3,Garage,16,211.4133336
37,M,20,0,4,1200,4,Garage,9,239.9875105
56,M,3,0,0,1400,4,Garage,5,185.6967742
66,M,14,0,1,1400,6,Garage,1,211.5409604
35,M,18,0,4,1600,2,Drive,2,233.2965155
74,M,24,0,4,1600,7,Garage,10,256.6912146
74,M,21,0,1,1200,5,Garage,9,218.8982566
47,F,1,0,1,1800,5,Garage,6,186.5380627
40,F,10,0,1,1200,2,Garage,4,187.824063
62,F,1,0,4,1800,6,Garage,1,217.1849111
46,M,14,8,0,1400,5,Garage,1,222.8885662
61,F,26,0,3,1400,6,Road,18,265.4630271
31,M,11,0,4,1200,6,Garage,5,235.9955703
75,M,12,0,2,1800,3,Garage,3,214.9450317
21,F,2,8,3,1200,4,Road,3,244.9023326
21,F,2,0,0,1400,5,Garage,7,175.1816667
64,M,26,0,4,1600,5,Garage,2,245.2838037
42,M,23,4,4,1400,5,Garage,12,261.5989538
35,M,15,0,0,1400,6,Garage,1,197.0184499
43,F,4,0,2,1200,2,Garage,2,189.4723024
29,M,2,8,3,1600,2,Garage,1,222.0809677
72,M,43,4,2,1600,5,Garage,5,245.9842299
49,M,16,0,2,1200,3,Garage,2,211.0138202
76,M,4,0,1,1600,6,Garage,13,212.9151424
32,M,6,0,4,1400,3,Road,3,241.3292644
71,M,28,0,3,1200,2,Road,1,242.2514217
34,M,1,0,1,1600,7,Road,18,221.4451474
53,F,31,0,3,1400,5,Garage,2,230.5145427
78,F,6,0,2,1200,4,Road,6,229.9220554
57,F,4,0,2,1400,4,Garage,1,200.9398274
31,F,11,0,2,1400,5,Garage,4,209.5353696
73,M,35,0,1,1400,7,Garage,1,221.7330663
37,F,12,0,4,1600,6,Garage,1,232.3455173
74,M,13,4,4,1400,4,Road,1,269.7905113
27,F,4,0,1,1200,5,Garage,4,189.5666062
61,M,13,0,1,1400,3,Drive,2,209.8758872
22,F,4,0,0,1200,2,Road,1,183.3110411
80,F,22,8,2,1400,3,Garage,2,240.9205208
19,F,2,0,0,1200,5,Garage,1,168.8102456
56,M,22,0,4,2400,8,Garage,11,258.3731605
45,F,24,0,0,1400,3,Drive,4,199.947032
45,M,25,0,2,1600,5,Garage,1,221.3522732
47,F,29,4,3,1600,3,Road,1,255.4098392
50,F,28,0,3,1200,6,Garage,1,230.0943306
55,F,3,0,4,1200,6,Road,2,243.7880742
58,M,31,0,4,1200,4,Garage,1,240.6897507
57,M,4,0,0,1600,3,Garage,5,184.9717234
54,F,37,0,1,1400,4,Road,2,229.1042781
53,M,7,0,2,1200,3,Road,13,233.8281645
40,M,3,0,4,2000,7,Garage,10,236.2499149
29,M,11,0,0,1400,7,Garage,12,203.8881351
45,F,26,0,3,1400,6,Garage,5,232.6293361
40,M,19,8,4,1800,3,Garage,2,259.4590877
23,F,1,8,4,2000,4,Garage,1,231.0390575
59,F,6,0,1,1200,5,Drive,1,204.6639316
77,M,16,0,1,1400,4,Garage,5,211.6362155
65,M,15,0,3,1200,4,Garage,15,236.9938088
48,F,13,0,1,2000,6,Garage,18,219.7838415
39,M,12,0,3,1200,4,Garage,8,225.5220554
33,M,15,8,3,2000,6,Garage,4,257.3977673
73,F,16,0,0,1200,3,Garage,1,189.4029333
30,M,7,0,0,1200,3,Garage,3,181.2754083
71,F,8,0,0,1200,3,Drive,10,198.8355194
60,M,4,0,1,1400,6,Garage,12,209.5563752
32,M,4,0,4,1200,6,Garage,1,224.9567525
52,F,21,0,0,1400,5,Drive,2,205.246439
18,M,1,0,3,1600,3,Road,2,212.2599325
33,F,16,0,0,1200,4,Garage,5,190.0870793
42,M,24,0,0,1400,3,Garage,4,195.395089
76,M,6,0,0,1200,3,Garage,14,196.2784905
46,M,14,0,1,1200,2,Garage,1,193.2339364
18,F,1,0,2,1600,3,Garage,1,177.4599325
32,M,10,0,0,1600,3,Garage,3,186.0835264
74,M,57,0,4,1400,5,Garage,3,252.8572406
67,F,34,0,1,1400,3,Garage,2,206.3177266
25,F,6,0,0,1200,6,Garage,6,186.2255928
55,M,35,0,3,1400,2,Garage,3,224.36455
36,M,9,0,3,1400,3,Road,1,233.9152496
55,M,32,0,1,1800,7,Garage,11,228.0077311
21,M,1,0,3,1200,2,Garage,8,191.4485261
72,M,35,0,3,1200,6,Garage,2,239.5966239
70,F,14,0,4,1200,3,Garage,20,243.1989686
55,F,38,0,3,1200,2,Garage,3,220.2517013
72,F,18,0,0,1200,4,Garage,1,194.070612
51,M,12,0,2,1600,6,Garage,1,218.9127791
75,M,58,0,2,1400,4,Garage,1,228.5285114
74,M,29,4,0,2000,4,Garage,7,222.7926578
35,F,13,0,1,1200,3,Garage,4,194.2609274
79,F,5,0,3,1200,6,Garage,2,220.7715966
37,M,13,0,0,1200,2,Drive,2,189.6992847
74,F,28,0,4,1400,6,Garage,1,244.0014207
34,M,10,0,0,2000,7,Road,15,228.5815459
28,M,9,0,4,1200,3,Garage,1,221.1339807
30,M,8,0,4,1400,5,Garage,19,242.7254211
50,F,6,0,3,1400,3,Garage,6,213.2995612
34,M,1,0,1,1200,2,Garage,1,169.7032308
61,M,8,0,2,1200,5,Drive,3,222.8320796
54,F,17,0,2,1400,2,Garage,2,203.6406791
50,F,29,0,2,1400,5,Garage,2,219.5148604
53,M,35,0,3,1200,3,Garage,1,227.1036678
